level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,9,1,2,5,1913,955,105,77,74,sing)
5,1,10,1,1,1,405,1024,26,31,96,is
5,1,10,1,1,2,443,1023,54,33,96,the
5,1,10,1,1,3,510,1022,142,33,96,one-shot
5,1,10,1,1,4,666,1021,137,40,96,learning
5,1,10,1,1,5,814,1020,125,39,96,"setting,"
5,1,10,1,1,6,953,1019,30,31,96,in
5,1,10,1,1,7,997,1016,97,33,96,which
5,1,10,1,1,8,1106,1026,43,22,96,we
5,1,10,1,1,9,1162,1018,82,30,96,must
5,1,10,1,1,10,1255,1007,150,41,96,correctly
5,1,10,1,1,11,1416,1001,90,37,96,make
5,1,10,1,1,12,1502,990,86,64,96,pred
5,1,11,1,1,1,404,1105,35,33,95,of
5,1,11,1,1,2,449,1105,75,33,95,each
5,1,11,1,1,3,539,1116,66,22,96,new
5,1,11,1,1,4,619,1105,87,33,96,class.
5,1,12,1,1,1,464,1188,34,31,96,In
5,1,12,1,1,2,518,1188,62,31,96,this
5,1,12,1,1,3,598,1198,106,28,96,"paper,"
5,1,12,1,1,4,724,1198,45,21,96,we
5,1,12,1,1,5,785,1188,123,39,95,explore
5,1,12,1,1,6,926,1198,20,21,95,a
5,1,12,1,1,7,962,1187,128,32,96,method
5,1,12,1,1,8,1109,1185,46,33,96,for
5,1,12,1,1,9,1173,1185,136,37,96,learning
5,1,12,1,1,10,1328,1183,132,31,96,siamese
5,1,12,1,1,11,1478,1172,106,36,96,neural
5,1,12,1,1,12,1602,1163,150,40,96,networks
5,1,12,1,1,13,1771,1155,99,37,96,which
5,1,12,1,1,14,1889,1146,126,44,96,employ
5,1,12,1,1,15,2032,1151,20,24,61,4
5,1,12,1,1,16,2051,1134,138,61,89,unique
5,1,13,1,1,1,403,1272,157,28,94,structure
5,1,13,1,1,2,579,1274,32,27,96,to
5,1,13,1,1,3,629,1270,155,40,94,naturally
5,1,13,1,1,4,803,1270,76,33,96,rank
5,1,13,1,1,5,896,1270,161,40,96,similarity
5,1,13,1,1,6,1074,1270,136,32,93,between
5,1,13,1,1,7,1229,1269,113,39,93,inputs.
5,1,13,1,1,8,1374,1264,85,34,93,Once
5,1,13,1,1,9,1477,1271,19,23,96,a
5,1,13,1,1,10,1513,1256,134,37,96,network
5,1,13,1,1,11,1667,1254,56,33,96,has
5,1,13,1,1,12,1741,1250,77,33,96,been
5,1,13,1,1,13,1837,1239,108,40,94,"tuned,"
5,1,13,1,1,14,1965,1244,46,24,94,we
5,1,13,1,1,15,2028,1239,59,26,94,can
5,1,13,1,1,16,2108,1223,77,36,96,then
5,1,14,1,1,1,403,1351,163,38,96,capitalize
5,1,14,1,1,2,578,1362,42,22,96,on
5,1,14,1,1,3,634,1354,146,37,96,powerful
5,1,14,1,1,4,794,1354,238,32,96,discriminative
5,1,14,1,1,5,1047,1353,131,34,96,features
5,1,14,1,1,6,1193,1360,33,26,96,to
5,1,14,1,1,7,1238,1351,166,42,96,generalize
5,1,14,1,1,8,1419,1348,52,33,96,the
5,1,14,1,1,9,1485,1344,168,44,96,predictive
5,1,14,1,1,10,1666,1347,101,34,96,power
5,1,14,1,1,11,1779,1334,36,35,94,of
5,1,14,1,1,12,1825,1331,54,35,94,the
5,1,14,1,1,13,1893,1321,138,41,96,network
5,1,14,1,1,14,2045,1322,56,32,96,not
5,1,14,1,1,15,2112,1316,70,42,96,just
5,1,15,1,1,1,405,1436,33,26,95,to
5,1,15,1,1,2,449,1442,68,21,95,new
5,1,15,1,1,3,529,1433,85,39,96,"data,"
5,1,15,1,1,4,630,1435,57,31,96,but
5,1,15,1,1,5,700,1441,34,26,96,to
5,1,15,1,1,6,745,1438,128,39,96,entirely
5,1,15,1,1,7,885,1447,66,22,96,new
5,1,15,1,1,8,963,1437,110,32,96,classes
5,1,15,1,1,9,1086,1438,77,32,96,from
5,1,15,1,1,10,1176,1437,149,32,96,unknown
5,1,15,1,1,11,1339,1433,223,34,95,distributions.
5,1,15,1,1,12,1583,1428,95,39,95,Using
5,1,15,1,1,13,1690,1436,20,22,78,a
5,1,15,1,1,14,1719,1413,230,44,96,convolutional
5,1,15,1,1,15,1960,1408,218,37,94,"architecture,"
5,1,16,1,1,1,403,1523,44,22,95,we
5,1,16,1,1,2,462,1523,52,22,95,are
5,1,16,1,1,3,529,1516,69,32,96,able
5,1,16,1,1,4,613,1522,34,26,96,to
5,1,16,1,1,5,661,1518,122,33,96,achieve
5,1,16,1,1,6,797,1524,107,36,95,strong
5,1,16,1,1,7,918,1520,111,33,96,results
5,1,16,1,1,8,1042,1521,97,32,96,which
5,1,16,1,1,9,1153,1521,111,32,96,exceed
5,1,16,1,1,10,1279,1521,87,31,95,those
5,1,16,1,1,11,1379,1519,34,32,97,of
5,1,16,1,1,12,1424,1517,88,33,96,other
5,1,16,1,1,13,1525,1516,79,38,95,deep
5,1,16,1,1,14,1619,1511,135,39,95,learning
5,1,16,1,1,15,1768,1503,120,37,96,models
5,1,16,1,1,16,1900,1499,77,35,97,with
5,1,16,1,1,17,1992,1504,75,26,93,near
5,1,16,1,1,18,2079,1494,98,31,93,state-
5,1,17,1,1,1,402,1595,165,33,96,of-the-art
5,1,17,1,1,2,582,1599,211,38,96,performance
5,1,17,1,1,3,806,1612,41,22,96,on
5,1,17,1,1,4,861,1603,143,32,96,one-shot
5,1,17,1,1,5,1018,1604,213,32,95,classification
5,1,17,1,1,6,1246,1604,93,32,96,tasks.
